date,time,total_light,infared,visible,full_spectrum
10/07/19,18:49:40,1.423104,2,131082,131084
10/07/19,18:49:41,1.423104,2,131082,131084
10/07/19,18:49:42,1.423104,2,131082,131084
10/07/19,18:49:43,1.423104,2,131082,131084
10/07/19,18:49:44,1.423104,2,131082,131084
10/07/19,18:49:45,1.423104,2,131082,131084
10/07/19,18:49:46,1.423104,2,131082,131084
10/07/19,18:49:47,1.423104,2,131082,131084
10/07/19,18:49:48,1.423104,2,131082,131084
10/07/19,18:49:49,1.423104,2,131082,131084
10/07/19,18:49:50,1.423104,2,131082,131084
10/07/19,18:49:51,1.423104,2,131082,131084
10/07/19,18:49:52,1.423104,2,131082,131084
10/07/19,18:49:53,1.423104,2,131082,131084
10/07/19,18:49:54,1.423104,2,131082,131084
10/07/19,18:49:55,1.423104,2,131082,131084
10/07/19,18:49:56,1.423104,2,131082,131084
10/07/19,18:49:57,1.423104,2,131082,131084
10/07/19,18:49:58,1.423104,2,131082,131084
10/07/19,18:49:59,1.423104,2,131082,131084
10/07/19,18:50:00,1.423104,2,131082,131084
10/07/19,18:50:01,1.423104,2,131082,131084
10/07/19,18:50:02,1.423104,2,131082,131084
10/07/19,18:50:03,1.423104,2,131082,131084
10/07/19,18:50:04,1.423104,2,131082,131084
10/07/19,18:50:05,1.423104,2,131082,131084
10/07/19,18:50:06,1.423104,2,131082,131084
10/07/19,18:50:07,1.423104,2,131082,131084
10/07/19,18:50:08,1.423104,2,131082,131084
10/07/19,18:50:09,1.423104,2,131082,131084
10/07/19,18:50:10,1.423104,2,131082,131084
10/07/19,18:50:11,1.423104,2,131082,131084
10/07/19,18:50:12,1.423104,2,131082,131084
10/07/19,18:50:13,1.423104,2,131082,131084
10/07/19,18:50:14,1.423104,2,131082,131084
10/07/19,18:50:15,1.423104,2,131082,131084
10/07/19,18:50:16,1.423104,2,131082,131084
10/07/19,18:50:17,1.423104,2,131082,131084
10/07/19,18:50:18,1.423104,2,131082,131084
10/07/19,18:50:19,1.423104,2,131082,131084
10/07/19,18:50:20,1.423104,2,131082,131084
10/07/19,18:50:21,1.423104,2,131082,131084
10/07/19,18:50:22,1.423104,2,131082,131084
10/07/19,18:50:23,1.423104,2,131082,131084
10/07/19,18:50:24,1.423104,2,131082,131084
10/07/19,18:50:25,1.423104,2,131082,131084
10/07/19,18:50:26,1.423104,2,131082,131084
10/07/19,18:50:27,1.423104,2,131082,131084
10/07/19,18:50:28,1.423104,2,131082,131084
10/07/19,18:50:29,1.423104,2,131082,131084
10/07/19,18:50:30,1.423104,2,131082,131084
10/07/19,18:50:31,1.423104,2,131082,131084
10/07/19,18:50:32,1.423104,2,131082,131084
10/07/19,18:50:33,1.423104,2,131082,131084
10/07/19,18:50:34,1.423104,2,131082,131084
10/07/19,18:50:35,1.423104,2,131082,131084
10/07/19,18:50:36,1.423104,2,131082,131084
10/07/19,18:50:37,1.423104,2,131082,131084
10/07/19,18:50:38,1.423104,2,131082,131084
10/07/19,18:50:39,1.423104,2,131082,131084
10/07/19,18:50:40,1.423104,2,131082,131084
10/07/19,18:50:41,1.423104,2,131082,131084
10/07/19,18:50:42,1.423104,2,131082,131084
10/07/19,18:50:43,1.423104,2,131082,131084
10/07/19,18:50:44,1.423104,2,131082,131084
10/07/19,18:50:45,1.423104,2,131082,131084
10/07/19,18:50:46,1.423104,2,131082,131084
10/07/19,18:50:47,1.423104,2,131082,131084
10/07/19,18:50:48,1.423104,2,131082,131084
10/07/19,18:50:49,1.423104,2,131082,131084
10/07/19,18:50:50,1.423104,2,131082,131084
10/07/19,18:50:51,1.423104,2,131082,131084
10/07/19,18:50:52,1.423104,2,131082,131084
10/07/19,18:50:53,1.423104,2,131082,131084
10/07/19,18:50:54,1.423104,2,131082,131084
10/07/19,18:50:55,1.423104,2,131082,131084
10/07/19,18:50:56,1.423104,2,131082,131084
10/07/19,18:50:57,1.423104,2,131082,131084
10/07/19,18:50:58,1.423104,2,131082,131084
10/07/19,18:50:59,1.423104,2,131082,131084
10/07/19,18:51:00,1.423104,2,131082,131084
10/07/19,18:51:02,1.423104,2,131082,131084
10/07/19,18:51:03,1.423104,2,131082,131084
10/07/19,18:51:04,1.423104,2,131082,131084
10/07/19,18:51:05,1.423104,2,131082,131084
10/07/19,18:51:06,1.423104,2,131082,131084
10/07/19,18:51:07,1.423104,2,131082,131084
10/07/19,18:51:08,1.423104,2,131082,131084
10/07/19,18:51:09,1.423104,2,131082,131084
10/07/19,18:51:10,1.423104,2,131082,131084
10/07/19,18:51:11,1.423104,2,131082,131084
10/07/19,18:51:12,1.423104,2,131082,131084
10/07/19,18:51:13,1.423104,2,131082,131084
10/07/19,18:51:14,1.423104,2,131082,131084
10/07/19,18:51:15,1.423104,2,131082,131084
10/07/19,18:51:16,1.423104,2,131082,131084
10/07/19,18:51:17,1.423104,2,131082,131084
10/07/19,18:51:18,1.423104,2,131082,131084
10/07/19,18:51:19,1.423104,2,131082,131084
10/07/19,18:51:20,1.423104,2,131082,131084
10/07/19,18:51:21,1.423104,2,131082,131084
10/07/19,18:51:22,1.423104,2,131082,131084
10/07/19,18:51:23,1.423104,2,131082,131084
10/07/19,18:51:24,1.423104,2,131082,131084
10/07/19,18:51:25,1.423104,2,131082,131084
10/07/19,18:51:26,1.423104,2,131082,131084
10/07/19,18:51:27,1.423104,2,131082,131084
10/07/19,18:51:28,1.423104,2,131082,131084
10/07/19,18:51:29,1.423104,2,131082,131084
10/07/19,18:51:30,1.423104,2,131082,131084
10/07/19,18:51:31,1.155456,3,196617,196620
10/07/19,18:51:32,1.423104,2,131082,131084
10/07/19,18:51:33,1.423104,2,131082,131084
10/07/19,18:51:34,1.423104,2,131082,131084
10/07/19,18:51:35,1.423104,2,131082,131084
10/07/19,18:51:36,1.423104,2,131082,131084
10/07/19,18:51:37,1.423104,2,131082,131084
10/07/19,18:51:38,1.423104,2,131082,131084
10/07/19,18:51:39,1.423104,2,131082,131084
10/07/19,18:51:40,1.423104,2,131082,131084
10/07/19,18:51:41,1.423104,2,131082,131084
10/07/19,18:51:42,1.423104,2,131082,131084
10/07/19,18:51:43,1.423104,2,131082,131084
10/07/19,18:51:44,1.423104,2,131082,131084
10/07/19,18:51:45,1.423104,2,131082,131084
10/07/19,18:51:46,1.423104,2,131082,131084
10/07/19,18:51:47,1.423104,2,131082,131084
10/07/19,18:51:48,1.423104,2,131082,131084
10/07/19,18:51:49,1.423104,2,131082,131084
10/07/19,18:51:50,1.423104,2,131082,131084
10/07/19,18:51:51,1.423104,2,131082,131084
10/07/19,18:51:52,1.423104,2,131082,131084
10/07/19,18:51:53,1.423104,2,131082,131084
10/07/19,18:51:54,1.423104,2,131082,131084
10/07/19,18:51:55,1.423104,2,131082,131084
10/07/19,18:51:56,1.423104,2,131082,131084
10/07/19,18:51:57,1.423104,2,131082,131084
10/07/19,18:51:58,1.423104,2,131082,131084
10/07/19,18:51:59,1.423104,2,131082,131084
10/07/19,18:52:00,1.423104,2,131082,131084
10/07/19,18:52:01,1.423104,2,131082,131084
10/07/19,18:52:02,1.423104,2,131082,131084
10/07/19,18:52:03,1.423104,2,131082,131084
10/07/19,18:52:04,1.423104,2,131082,131084
10/07/19,18:52:05,1.423104,2,131082,131084
10/07/19,18:52:06,1.423104,2,131082,131084
10/07/19,18:52:07,1.423104,2,131082,131084
10/07/19,18:52:08,1.423104,2,131082,131084
10/07/19,18:52:09,1.423104,2,131082,131084
10/07/19,18:52:10,1.423104,2,131082,131084
10/07/19,18:52:11,1.423104,2,131082,131084
10/07/19,18:52:12,1.423104,2,131082,131084
10/07/19,18:52:13,1.423104,2,131082,131084
10/07/19,18:52:14,1.423104,2,131082,131084
