date,time,total_light,infared,visible,full_spectrum
10/08/19,09:06:56,0.0,0,0,0
10/08/19,09:06:57,132.949248,224,14681022,14681246
10/08/19,09:06:58,133.216896,223,14615487,14615710
10/08/19,09:06:59,133.112448,224,14681023,14681247
10/08/19,09:07:00,133.112448,224,14681023,14681247
10/08/19,09:07:02,133.112448,224,14681023,14681247
10/08/19,09:07:03,133.38009599999998,223,14615488,14615711
10/08/19,09:07:04,133.27564800000002,224,14681024,14681248
10/08/19,09:07:05,133.38009599999998,223,14615488,14615711
10/08/19,09:07:06,133.112448,224,14681023,14681247
10/08/19,09:07:07,132.949248,224,14681022,14681246
10/08/19,09:07:08,133.112448,224,14681023,14681247
10/08/19,09:07:09,133.216896,223,14615487,14615710
