Timestamp,Temperature [C],Relative Humidity,CO2,PM_N_0p5,PM_N_1,PM_N_2p5,PM_N_4,PM_N_10,PM_C_1,PM_C_2p5,PM_C_4,PM_C_10
2019-10-24 13:39:34,24.404518127441406,54.4342041015625,726.3137817382812,0,0,0,0,0,0,0,0,0
2019-10-24 13:40:47,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 13:42:00,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 13:43:13,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 13:44:26,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 13:45:40,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 13:46:52,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 13:48:06,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 13:49:19,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 13:50:32,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 13:51:45,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 13:52:58,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 13:54:11,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 13:55:25,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 13:56:38,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 13:57:51,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 14:06:43,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 14:16:28,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 14:39:49,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 14:40:51,24.44457244873047,51.678466796875,774.9026489257812,0,0,0,0,0,0,0,0,0
2019-10-24 14:41:53,24.38849639892578,51.8310546875,774.7260131835938,0,0,0,0,0,0,0,0,0
2019-10-24 14:42:56,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 14:43:57,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 14:45:00,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 14:46:02,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 14:47:04,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 14:48:06,nan,nan,nan,0,0,0,0,0,0,0,0,0
2019-10-24 14:54:22,24.65552520751953,51.3031005859375,802.4343872070312,0,0,0,0,0,0,0,0,0
2019-10-24 14:55:24,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-24 15:07:14,24.727622985839844,51.129150390625,816.2240600585938,0,0,0,0,0,0,0,0,0
2019-10-24 15:08:16,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-24 15:09:18,24.879837036132812,50.73089599609375,820.7132568359375,0,0,0,0,0,0,0,0,0
2019-10-24 15:10:21,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-24 15:11:22,24.74097442626953,50.7965087890625,813.0469970703125,0,0,0,0,0,0,0,0,0
2019-10-24 15:12:25,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-24 15:13:26,24.684898376464844,50.98419189453125,807.376953125,0,0,0,0,0,0,0,0,0
2019-10-24 15:14:29,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-24 15:15:30,24.684898376464844,50.91094970703125,809.4793090820312,0,0,0,0,0,0,0,0,0
2019-10-24 15:16:33,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-24 15:17:35,24.83978271484375,50.57525634765625,816.670654296875,0,0,0,0,0,0,0,0,0
2019-10-24 15:18:37,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-24 15:19:38,24.810409545898438,50.96588134765625,815.2250366210938,0,0,0,0,0,0,0,0,0
2019-10-24 15:20:41,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-24 15:21:43,24.853134155273438,50.60272216796875,817.1520385742188,0,0,0,0,0,0,0,0,0
2019-10-24 15:22:45,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-24 15:28:15,24.938583374023438,50.594482421875,803.6590698242187,0,0,0,0,0,0,0,0,0
