beacon,constant,coefficient,score,ts_shift
1,0,0.970739588,0.831438178,0
2,0,1,0,0
3,0,1,0,0
4,0,1,0,0
5,0,0.862397589,0.911746034,0
6,0,0.849960491,0.935047292,0
7,0,0.486535651,0.823537104,0
8,0,1,0,0
9,0,1,0,0
10,0,0.959748342,0.851152026,0
11,0,1.049072726,0.927073713,0
12,0,1,0,0
13,0,1,0,0
14,0,1,0,0
15,0,0.96772073,0.937881157,0
16,0,0.849146652,0.950110763,0
17,0,1,0,0
18,0,1,0,0
19,0,1.077862126,0.929839784,0
20,0,1,0,0
21,0,1.118267412,0.93765682,0
22,0,1,0,0
23,0,1,0,0
24,0,0.783898031,0.906736855,-1
25,0,1.082339034,0.931759044,0
26,0,-0.087485626,0.258070226,5
27,0,1,0,0
28,0,1,0,0
29,0,1.167483273,0.930105808,0
30,0,1.224758995,0.882228392,0
31,0,1,0,0
32,0,1,0,0
33,0,1,0,0
34,0,1.123706647,0.925138751,0
35,0,1,0,0
36,0,1.047729147,0.947548435,0
37,0,1,0,0
38,0,1.127156667,0.915300402,0
39,0,1,0,0
40,0,1,0,0
41,0,1,0,0
42,0,1,0,0
43,0,1,0,0
44,0,0.512100215,0.942807931,0
45,0,1,0,0
46,0,1.245483431,0.839806279,0
47,0,1,0,0
48,0,1,0,0
49,0,1,0,0
50,0,1,0,0
