beacon,constant,coefficient,score,ts_shift
1,0.6668266039470989,0.08198750567783915,0.7565967454295182,-4
2,1.2548716502042438,0.08706878301823241,0.7299415509909748,-2
3,0.0,1.0,0.0,0
4,4.072786322140817,0.018849530511063733,0.10118351860956953,0
5,0.23107002405019816,0.13909549336669058,0.7610508621311087,-2
6,2.5119054451996723,0.07688086074759216,0.6301804605001219,-1
7,2.429706832238794,0.32865699178733054,0.2657068480033651,-5
8,1.5826612267661293,0.08509936068662884,0.7856879720377626,-1
9,-0.06681663913452685,0.10515818162466371,0.654500845533309,-1
10,0.0,1.0,0.0,0
11,0.6479450376396185,0.06696896555363446,0.5319107969532362,-1
12,0.0,1.0,0.0,0
13,1.5943758369050611,0.10598172981049953,0.7659672660264166,-1
14,0.0,1.0,0.0,0
15,0.6885032372214006,0.13581718405183996,0.7697046989196563,-3
16,4.074528591716124,0.07184786282778975,0.3608187123395039,-3
17,2.4748233786078844,0.04628933464460242,0.24283632469763583,-2
18,1.5730531515144426,0.026084048591458218,0.6992219964631983,-1
19,0.3429481306615614,0.16262930433554923,0.9159323048193709,-1
20,0.0,1.0,0.0,0
21,3.2474469833758697,0.0863137988941749,0.5552236758750089,-1
22,0.0,1.0,0.0,0
23,2.425899302293285,0.1000694836421733,0.4567727107338422,-1
24,0.0,1.0,0.0,0
25,1.8110674363150583,0.021002322731522152,0.6344499697002235,-2
26,1.1483384157932752,0.02196880308012759,0.8004770537907013,-2
27,0.0,1.0,0.0,0
28,0.42078519885714716,0.1391603881823643,0.8525130362337351,-1
29,0.5041027136155218,0.14304727897438618,0.7670116768466075,-4
30,0.0,1.0,0.0,0
31,0.0,1.0,0.0,0
32,0.0,1.0,0.0,0
33,0.0,1.0,0.0,0
34,0.0,1.0,0.0,0
35,0.0,1.0,0.0,0
36,0.0,1.0,0.0,0
37,0.0,1.0,0.0,0
38,0.0,1.0,0.0,0
39,0.0,1.0,0.0,0
40,0.0,1.0,0.0,0
41,0.0,1.0,0.0,0
42,0.0,1.0,0.0,0
43,0.0,1.0,0.0,0
44,0.0,1.0,0.0,0
45,0.0,1.0,0.0,0
46,0.0,1.0,0.0,0
47,0.0,1.0,0.0,0
48,0.0,1.0,0.0,0
49,0.0,1.0,0.0,0
50,0.0,1.0,0.0,0
