beacon,constant,coefficient,score,ts_shift
1,-0.189001686623115,0.10686634872369932,0.7605868654315667,-4
2,-0.20225053593282905,0.11835474889710769,0.733406095974489,-2
3,0.0,1.0,0.0,0
4,-0.5332747993810276,0.16894714565190888,0.7371466811808045,-1
5,-0.7327216368665583,0.1728234528739213,0.729869531129056,-2
6,0.4301613974871161,0.12173990358226396,0.7892687713743388,-1
7,154.65057713167553,-3.1469034721889146,0.42921991549830174,2
8,0.44368943620625956,0.1144036776118201,0.8171746333808272,-1
9,0.33662170717488316,0.13511917553893113,0.645757066166497,-1
10,0.0,1.0,0.0,0
11,0.19955386114429263,0.1179454043349344,0.8390609376161179,-1
12,0.0,1.0,0.0,0
13,-0.136710374683509,0.14808333352758044,0.8182506301094621,-1
14,0.0,1.0,0.0,0
15,-0.423586703730777,0.17358078929803195,0.7686875398473336,-3
16,-1.023402783523247,0.19077501483868656,0.6913311298999999,-3
17,-0.2876298175884848,0.15630575711695105,0.6430433381731889,-1
18,2.1599474549671545,0.02620636579155943,0.6466664553689059,-1
19,-0.08191655517722474,0.1905217002863862,0.8274628940234534,-1
20,0.0,1.0,0.0,0
21,-0.716116575992567,0.18503200701587927,0.7594453768747722,-2
22,0.0,1.0,0.0,0
23,-0.32273388505509093,0.16568049757926448,0.6062176601086291,-1
24,0.0,1.0,0.0,0
25,2.2311597779310084,0.021942275260875548,0.6214442448678374,-4
26,1.5695293978494247,0.022212959771548302,0.7438769886166317,-2
27,0.0,1.0,0.0,0
28,-0.2823607892302915,0.1697850487803002,0.7694839020605857,-1
29,-0.5099751738083196,0.18008510908379613,0.6955434033480652,-4
30,0.0,1.0,0.0,0
31,0.0,1.0,0.0,0
32,0.0,1.0,0.0,0
33,0.0,1.0,0.0,0
34,0.0,1.0,0.0,0
35,0.0,1.0,0.0,0
36,0.0,1.0,0.0,0
37,0.0,1.0,0.0,0
38,0.0,1.0,0.0,0
39,0.0,1.0,0.0,0
40,0.0,1.0,0.0,0
41,0.0,1.0,0.0,0
42,0.0,1.0,0.0,0
43,0.0,1.0,0.0,0
44,0.0,1.0,0.0,0
45,0.0,1.0,0.0,0
46,0.0,1.0,0.0,0
47,0.0,1.0,0.0,0
48,0.0,1.0,0.0,0
49,0.0,1.0,0.0,0
50,0.0,1.0,0.0,0
