beacon,constant,coefficient
1,342.3650728333334,0.8211700816666667
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,216.21781431,1.1434370633333335
6,174.58846933333334,0.724259393
7,251.75701366666667,0.8585627786666666
8,0.0,1.0
9,0.0,1.0
10,113.62022955999998,0.7382037726666667
11,240.49261636666665,0.8282226766666666
12,0.0,1.0
13,0.0,1.0
14,0.0,1.0
15,255.92443556666663,0.8429349666666667
16,296.1119901,0.8397655266666666
17,0.0,1.0
18,0.0,1.0
19,472.9490886333333,0.900969867
20,0.0,1.0
21,364.18423293333336,0.904366519
22,0.0,1.0
23,0.0,1.0
24,288.4868906666666,1.16644558
25,168.89372863333332,0.7852043266666667
26,294.03188916666664,0.8452166556666666
27,0.0,1.0
28,0.0,1.0
29,350.4477630666667,0.9153825496666667
30,236.60418873333333,0.8525916320000001
31,0.0,1.0
32,0.0,1.0
33,0.0,1.0
34,166.86530596666668,0.6420442833333334
35,0.0,1.0
36,435.17315790000004,0.945432621
37,0.0,1.0
38,282.89409993333334,0.8949488109999999
39,0.0,1.0
40,0.0,1.0
41,0.0,1.0
42,0.0,1.0
43,0.0,1.0
44,347.25303133333335,0.8882910970000001
45,0.0,1.0
46,275.7302082333333,0.724165417
47,0.0,1.0
48,0.0,1.0
49,0.0,1.0
50,0.0,1.0
