beacon,constant,coefficient
1,-10.8812572,2.8911490575
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,-9.267527013333334,3.155764098666667
6,-7.395114876333333,1.9964487093333332
7,-9.080299814333335,2.7813363653333334
8,0.0,1.0
9,0.0,1.0
10,-8.3849173115,2.4541189035
11,-9.902423638333333,2.102597554
12,0.0,1.0
13,0.0,1.0
14,0.0,1.0
15,-15.058181507999999,3.1603137770000003
16,-8.493198940333334,2.854321038333333
17,0.0,1.0
18,0.0,1.0
19,-10.643540957,2.9211959785
20,0.0,1.0
21,-4.8512542005,1.7652458255
22,0.0,1.0
23,0.0,1.0
24,-9.801343646,3.20902407
25,-7.6528324905,3.0411957440000004
26,-6.460552065666666,2.3112732773333335
27,0.0,1.0
28,0.0,1.0
29,-9.300277338333332,2.8595085116666668
30,-3.0911583565000003,1.6247648055
31,0.0,1.0
32,0.0,1.0
33,0.0,1.0
34,-4.185788724,2.113211169
35,0.0,1.0
36,-9.909055361333332,2.744330885666667
37,0.0,1.0
38,-14.206746849333333,3.65407958
39,0.0,1.0
40,0.0,1.0
41,0.0,1.0
42,0.0,1.0
43,0.0,1.0
44,-11.361359795,3.2623636956666666
45,0.0,1.0
46,-9.459612824333334,2.9003025069999997
47,0.0,1.0
48,0.0,1.0
49,0.0,1.0
50,0.0,1.0
